"Name","Location","Function Signature","Function Size"
"FUN_005f69c0","005f69c0","float10 FUN_005f69c0(float param_1\, ushort * param_2\, float param_3\, float param_4\, undefined4 param_5\, float param_6\, float param_7\, float param_8\, float param_9\, undefined4 param_10\, undefined4 * param_11)","110"
"FUN_005f6ab0","005f6ab0","undefined FUN_005f6ab0(void * this\, int param_1)","419"
"FUN_005f7420","005f7420","int FUN_005f7420(void)","24"
"FUN_005f7490","005f7490","undefined FUN_005f7490(void)","1"
"FUN_005f74a0","005f74a0","undefined FUN_005f74a0(void)","1"
"FUN_005f75a0","005f75a0","undefined FUN_005f75a0(undefined4 * param_1)","95"
"FUN_005f7610","005f7610","undefined FUN_005f7610(undefined4 * param_1)","133"
"FUN_005f7700","005f7700","undefined FUN_005f7700(void * this\, undefined4 * param_1)","59"
"FUN_005f77d0","005f77d0","undefined FUN_005f77d0(void)","108"
"FUN_005f7980","005f7980","undefined4 FUN_005f7980(void)","49"
"FUN_005f79e0","005f79e0","undefined4 FUN_005f79e0(void)","43"
"FUN_005f7a90","005f7a90","undefined FUN_005f7a90(void)","1"
"FUN_005f7aa0","005f7aa0","undefined4 FUN_005f7aa0(void)","3"
"FUN_005f7b40","005f7b40","undefined FUN_005f7b40(undefined4 * param_1)","255"
"FUN_005f7c40","005f7c40","undefined2 FUN_005f7c40(int param_1)","9"
"FUN_005f7c50","005f7c50","undefined2 FUN_005f7c50(int param_1)","9"
"FUN_005f7c60","005f7c60","undefined FUN_005f7c60(int param_1\, byte param_2\, uint * param_3\, uint * param_4)","46"
"FUN_005f7c90","005f7c90","undefined2 FUN_005f7c90(int param_1)","9"
"FUN_005f7cc0","005f7cc0","undefined FUN_005f7cc0(int param_1\, uint param_2\, uint param_3)","38"
"FUN_005f7cf0","005f7cf0","undefined FUN_005f7cf0(int param_1\, undefined4 param_2)","12"
"FUN_005f7d00","005f7d00","undefined FUN_005f7d00(int param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","245"
"FUN_005f7ed0","005f7ed0","undefined FUN_005f7ed0(int param_1\, undefined4 param_2\, undefined4 param_3)","187"
"FUN_005f8110","005f8110","undefined FUN_005f8110(int * param_1)","202"
"FUN_005f81f0","005f81f0","undefined FUN_005f81f0(int * param_1\, undefined2 param_2\, undefined2 param_3\, undefined2 param_4\, int param_5\, int param_6\, int param_7)","388"
"FUN_005f83a0","005f83a0","undefined FUN_005f83a0(int * param_1\, int param_2)","165"
"FUN_005f8460","005f8460","int FUN_005f8460(int param_1)","8"
"FUN_005f8470","005f8470","undefined FUN_005f8470(int * param_1\, uint param_2\, uint param_3\, uint param_4)","223"
"FUN_005f8550","005f8550","undefined FUN_005f8550(int * param_1\, uint param_2)","41"
"_PCEffectTexReleaseVideoResources","005f85a0","undefined _PCEffectTexReleaseVideoResources(void)","195"
"FUN_005f8670","005f8670","undefined FUN_005f8670(void)","106"
"FUN_005f8930","005f8930","undefined FUN_005f8930(void)","123"
"FUN_005f8a50","005f8a50","undefined4 FUN_005f8a50(void)","6"
"FUN_005f8a60","005f8a60","undefined4 FUN_005f8a60(int param_1)","12"
"FUN_005f8a80","005f8a80","int FUN_005f8a80(int param_1\, int param_2\, uint * param_3\, undefined4 * param_4)","87"
"FUN_005f8ae0","005f8ae0","uint FUN_005f8ae0(int param_1)","38"
"FUN_005f8b10","005f8b10","uint FUN_005f8b10(int param_1)","38"
"FUN_005f8ba0","005f8ba0","undefined FUN_005f8ba0(void)","1"
"FUN_005f8bb0","005f8bb0","undefined FUN_005f8bb0(void)","1"
"FUN_005f8bc0","005f8bc0","undefined FUN_005f8bc0(void)","1"
"FUN_005f8be0","005f8be0","undefined FUN_005f8be0(void)","1"
"FUN_005f8bf0","005f8bf0","undefined FUN_005f8bf0(int param_1)","175"
"FUN_005f8cb0","005f8cb0","undefined FUN_005f8cb0(uint param_1\, uint param_2)","112"
"FUN_005f8d60","005f8d60","undefined FUN_005f8d60(char * param_1\, int * param_2)","231"
"FUN_005f8e50","005f8e50","undefined FUN_005f8e50(undefined4 * param_1)","105"
"FUN_005f8ed0","005f8ed0","undefined FUN_005f8ed0(int param_1)","34"
"FUN_005f8f10","005f8f10","undefined4 FUN_005f8f10(void)","3"
"FUN_005f8f20","005f8f20","undefined4 FUN_005f8f20(void)","4"
"FUN_005f8f50","005f8f50","undefined FUN_005f8f50(int param_1\, uint param_2)","22"
"FUN_005f8f80","005f8f80","undefined FUN_005f8f80(void)","34"
"FUN_005f8fb0","005f8fb0","undefined FUN_005f8fb0(void)","1"
"FUN_005f8fc0","005f8fc0","undefined FUN_005f8fc0(void)","1"
"FUN_005f8fd0","005f8fd0","undefined FUN_005f8fd0(void)","81"
"FUN_005f9030","005f9030","undefined4 FUN_005f9030(undefined4 param_1)","56"
"FUN_005f9130","005f9130","undefined4 FUN_005f9130(byte * param_1\, int param_2\, undefined4 * param_3)","820"
"FUN_005f9530","005f9530","undefined FUN_005f9530(void)","21"
"FUN_005f9550","005f9550","undefined FUN_005f9550(float param_1\, undefined4 param_2\, int param_3)","455"
"_NuWaterRelease","005f9720","undefined _NuWaterRelease(void)","28"
"FUN_005f9740","005f9740","undefined FUN_005f9740(undefined4 param_1\, int param_2\, int * param_3)","482"
"FUN_005f9940","005f9940","undefined FUN_005f9940(float param_1)","15"
"thunk_FUN_005f74a0","005f9960","thunk undefined thunk_FUN_005f74a0(void)","5"
"FUN_005f9980","005f9980","undefined FUN_005f9980(undefined4 * param_1\, uint param_2\, undefined4 param_3\, undefined4 param_4)","78"
"FUN_005f99d0","005f99d0","undefined FUN_005f99d0(void)","328"
"FUN_005f9e50","005f9e50","undefined FUN_005f9e50(void)","12"
"FUN_005f9e60","005f9e60","undefined FUN_005f9e60(void)","42"
"FUN_005f9e90","005f9e90","undefined FUN_005f9e90(undefined4 param_1)","10"
"FUN_005f9ed0","005f9ed0","undefined FUN_005f9ed0(undefined4 * param_1\, undefined4 param_2\, undefined1 param_3\, undefined4 param_4\, undefined1 param_5\, undefined4 param_6\, undefined1 param_7)","208"
"FUN_005f9fa0","005f9fa0","undefined FUN_005f9fa0(int param_1\, undefined4 param_2\, int param_3)","187"
"FUN_005fa0a0","005fa0a0","undefined FUN_005fa0a0(void)","98"
"FUN_005fa1e0","005fa1e0","exception * FUN_005fa1e0(void * this\, byte param_1)","36"
"FUN_005fa220","005fa220","undefined FUN_005fa220(void)","1"
"FUN_005fa240","005fa240","undefined FUN_005fa240(void)","164"
"FUN_005fa2f0","005fa2f0","undefined FUN_005fa2f0(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","59"
"FUN_005fa330","005fa330","undefined FUN_005fa330(undefined4 * param_1\, undefined4 param_2)","497"
"FUN_005fa540","005fa540","undefined FUN_005fa540(uint param_1\, uint * param_2)","222"
"FUN_005fa720","005fa720","undefined4 FUN_005fa720(undefined4 param_1\, int param_2\, int * param_3\, int * param_4\, uint param_5)","104"
"FUN_005fa790","005fa790","undefined4 FUN_005fa790(undefined4 param_1\, int param_2\, int * param_3\, int * param_4\, uint param_5)","100"
"FUN_005fa800","005fa800","undefined4 FUN_005fa800(int * param_1\, int * param_2)","124"
"FUN_005fa880","005fa880","undefined4 FUN_005fa880(int * param_1\, int * param_2)","126"
"FUN_005fa920","005fa920","bool FUN_005fa920(void * this\, int param_1\, int param_2\, uint param_3\, float * param_4\, float * param_5\, float * param_6)","182"
"FUN_005fa9e0","005fa9e0","bool FUN_005fa9e0(int param_1\, undefined4 param_2\, float * param_3\, float * param_4\, float * param_5)","176"
"FUN_005faac0","005faac0","int FUN_005faac0(void * this\, undefined2 param_1\, undefined2 param_2)","39"
"FUN_005faaf0","005faaf0","undefined4 FUN_005faaf0(int param_1\, byte param_2)","349"
"FUN_005fac80","005fac80","void * FUN_005fac80(byte * param_1\, int param_2\, undefined4 param_3\, void * param_4\, ushort * param_5\, undefined4 param_6\, undefined4 param_7\, uint * param_8)","1998"
"FUN_005fb450","005fb450","undefined FUN_005fb450(uint param_1\, uint param_2)","212"
"FUN_005fb550","005fb550","undefined FUN_005fb550(void)","10"
"FUN_005fb560","005fb560","undefined FUN_005fb560(void)","10"
"thunk_FUN_005f7490","005fb7d0","thunk undefined thunk_FUN_005f7490(void)","5"
"FUN_005fb7e0","005fb7e0","undefined FUN_005fb7e0(void)","3"
"FUN_005fb810","005fb810","undefined FUN_005fb810(int * param_1)","81"
"FUN_005fb870","005fb870","undefined FUN_005fb870(void * this\, undefined4 * param_1\, uint param_2\, undefined1 param_3)","170"
"ReleaseVideoResources","005fb960","undefined ReleaseVideoResources(void)","64"
"FUN_005fb9a0","005fb9a0","undefined FUN_005fb9a0(void)","183"
"FUN_005fba70","005fba70","undefined FUN_005fba70(int param_1)","108"
"FUN_005fbae0","005fbae0","undefined FUN_005fbae0(int param_1)","17"
"FUN_005fbb00","005fbb00","undefined FUN_005fbb00(int param_1)","21"
"FUN_005fbb30","005fbb30","undefined FUN_005fbb30(void)","3"
"FUN_005fbcf0","005fbcf0","undefined4 FUN_005fbcf0(int param_1\, undefined4 param_2)","36"
"FUN_005fbd20","005fbd20","undefined4 FUN_005fbd20(int param_1)","22"
"FUN_005fbd80","005fbd80","undefined4 FUN_005fbd80(int param_1\, int param_2\, int * param_3)","1686"
"FUN_005fc430","005fc430","undefined4 FUN_005fc430(int param_1\, int param_2\, int param_3)","598"
"FUN_005fc690","005fc690","undefined4 FUN_005fc690(int param_1\, undefined4 param_2\, int param_3\, int param_4)","454"
"FUN_005fc860","005fc860","int FUN_005fc860(int param_1\, undefined4 * param_2\, int param_3)","82"
"FUN_005fca40","005fca40","undefined FUN_005fca40(int param_1)","37"
"FUN_005fca70","005fca70","undefined FUN_005fca70(void)","1"
"FUN_005fca80","005fca80","undefined FUN_005fca80(void)","1"
"FUN_005fca90","005fca90","undefined FUN_005fca90(undefined4 * param_1)","59"
"FUN_005fcad0","005fcad0","undefined FUN_005fcad0(float * param_1\, undefined4 * param_2\, float * param_3\, undefined4 * param_4\, float * param_5\, undefined4 * param_6)","227"
"FUN_005fcc10","005fcc10","undefined FUN_005fcc10(undefined4 * param_1\, undefined4 * param_2\, undefined4 * param_3)","107"
"FUN_005fcc80","005fcc80","undefined FUN_005fcc80(void)","214"
"FUN_005fcdf0","005fcdf0","undefined FUN_005fcdf0(int param_1)","245"
"FUN_005fcef0","005fcef0","undefined FUN_005fcef0(int param_1)","60"
"FUN_005fcf30","005fcf30","undefined FUN_005fcf30(int param_1)","39"
"FUN_005fcf60","005fcf60","undefined FUN_005fcf60(int param_1)","106"
"FUN_005fcfd0","005fcfd0","uint * FUN_005fcfd0(void)","160"
"FUN_005fd0d0","005fd0d0","undefined FUN_005fd0d0(undefined4 * param_1)","46"
"FUN_005fd100","005fd100","undefined FUN_005fd100(int param_1)","89"
"FUN_005fd160","005fd160","undefined FUN_005fd160(void)","80"
"FUN_005fd1c0","005fd1c0","undefined FUN_005fd1c0(void)","91"
"FUN_005fd220","005fd220","undefined FUN_005fd220(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","58"
"FUN_005fd3c0","005fd3c0","undefined FUN_005fd3c0(undefined4 param_1)","38"
"FUN_005fd450","005fd450","undefined FUN_005fd450(void)","207"
"FUN_005fd4d0","005fd4d0","undefined FUN_005fd4d0(uint param_1\, int * param_2)","133"
"FUN_005fd6b0","005fd6b0","undefined FUN_005fd6b0(undefined4 * param_1)","320"
"FUN_005fda20","005fda20","undefined FUN_005fda20(undefined4 * param_1)","315"
"FUN_005fdb60","005fdb60","undefined FUN_005fdb60(undefined4 * param_1)","446"
"FUN_005fdd20","005fdd20","undefined FUN_005fdd20(undefined4 * param_1)","79"
"FUN_005fdfd0","005fdfd0","undefined FUN_005fdfd0(int param_1)","115"
"FUN_005fe050","005fe050","undefined FUN_005fe050(int param_1)","118"
"FUN_005fe0d0","005fe0d0","undefined FUN_005fe0d0(int * param_1)","762"
"FUN_005fe3d0","005fe3d0","undefined4 FUN_005fe3d0(void)","6"
"FUN_005fe3f0","005fe3f0","undefined FUN_005fe3f0(void)","96"
"FUN_005fe450","005fe450","undefined FUN_005fe450(void)","1"
"FUN_005fe5a0","005fe5a0","undefined * FUN_005fe5a0(int param_1)","63"
"FUN_005fe5e0","005fe5e0","undefined * FUN_005fe5e0(int param_1)","39"
"FUN_005fe610","005fe610","undefined FUN_005fe610(void)","1"
"FUN_005fe970","005fe970","undefined4 FUN_005fe970(void)","8"
"FUN_005fe9d0","005fe9d0","undefined FUN_005fe9d0(float * param_1\, float param_2)","219"
"FUN_005feab0","005feab0","undefined FUN_005feab0(uint param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","27"
"FUN_005fecb0","005fecb0","undefined FUN_005fecb0(void)","1"
"FUN_005fed10","005fed10","undefined FUN_005fed10(int param_1)","353"
"FUN_005fee80","005fee80","undefined FUN_005fee80(float * param_1\, undefined4 param_2\, undefined2 param_3)","104"
"thunk_FUN_005f74a0","005feef0","thunk undefined thunk_FUN_005f74a0(void)","5"
"FUN_005fef60","005fef60","undefined FUN_005fef60(void)","1"
"FUN_005ff080","005ff080","undefined FUN_005ff080(void)","115"
"FUN_005ff2d0","005ff2d0","undefined FUN_005ff2d0(void)","189"
"FUN_005ff390","005ff390","undefined FUN_005ff390(void)","715"
"FUN_005ff660","005ff660","undefined FUN_005ff660(float param_1\, float param_2\, float param_3\, float param_4\, float param_5\, float param_6\, float param_7\, float param_8)","227"
"FUN_005ff760","005ff760","ulonglong FUN_005ff760(void)","47"
"FUN_005ff7a0","005ff7a0","int FUN_005ff7a0(int * param_1\, float * param_2\, float param_3)","122"
"FUN_005ff820","005ff820","undefined4 FUN_005ff820(void)","3"
"FUN_005ff830","005ff830","undefined FUN_005ff830(void)","1"
"FUN_005ff840","005ff840","undefined4 FUN_005ff840(undefined4 * param_1\, undefined4 * param_2)","861"
"FUN_005ffba0","005ffba0","undefined FUN_005ffba0(void)","108"
"_debris_ReleaseD3D","005ffc10","undefined _debris_ReleaseD3D(void)","28"
"FUN_005ffc30","005ffc30","undefined FUN_005ffc30(void)","78"
"FUN_005ffc80","005ffc80","undefined4 FUN_005ffc80(void)","185"
"FUN_005ffd40","005ffd40","undefined FUN_005ffd40(undefined4 param_1)","10"
"FUN_005ffdc0","005ffdc0","undefined FUN_005ffdc0(undefined1 * param_1\, int * param_2)","173"
"thunk_FUN_005ffdc0","005ffe70","thunk undefined thunk_FUN_005ffdc0(undefined1 * param_1\, int * param_2)","5"
"FUN_005ffe80","005ffe80","uint FUN_005ffe80(int param_1\, undefined4 * param_2)","21"
"FUN_005ffea0","005ffea0","undefined FUN_005ffea0(int param_1\, int param_2)","53"
"FUN_005ffee0","005ffee0","undefined FUN_005ffee0(undefined4 param_1\, undefined4 param_2\, float * param_3)","231"
"FUN_005fffd0","005fffd0","undefined FUN_005fffd0(undefined4 param_1\, int param_2\, float * param_3\, float param_4\, float * param_5\, undefined4 param_6\, float param_7\, int param_8)","645"
"FUN_00600260","00600260","undefined FUN_00600260(int param_1)","1855"
"FUN_006009a0","006009a0","undefined FUN_006009a0(void)","24"
"FUN_006009c0","006009c0","undefined FUN_006009c0(void)","24"
"FUN_006009e0","006009e0","undefined FUN_006009e0(float param_1\, float param_2\, undefined4 param_3)","302"
"FUN_00600b10","00600b10","undefined FUN_00600b10(void)","1"
"FUN_00600b20","00600b20","undefined FUN_00600b20(int param_1)","132"
"FUN_00600bb0","00600bb0","undefined FUN_00600bb0(void)","1"
"FUN_00600bc0","00600bc0","undefined FUN_00600bc0(void)","1"
"FUN_00600bd0","00600bd0","undefined FUN_00600bd0(int param_1)","15"
"FUN_00600be0","00600be0","undefined FUN_00600be0(int * param_1\, int param_2)","120"
"FUN_00600c60","00600c60","undefined FUN_00600c60(int param_1)","73"
"FUN_00600cb0","00600cb0","undefined FUN_00600cb0(int param_1)","73"
"FUN_00600d00","00600d00","undefined FUN_00600d00(int param_1\, int * param_2\, int param_3)","530"
"FUN_00600f20","00600f20","undefined FUN_00600f20(int param_1\, int param_2)","270"
"FUN_00601030","00601030","undefined FUN_00601030(int param_1)","471"
"FUN_00601210","00601210","undefined FUN_00601210(int param_1\, int param_2\, undefined4 param_3\, undefined4 param_4)","31"
"FUN_00601230","00601230","undefined FUN_00601230(int param_1\, undefined4 * param_2)","104"
"FUN_006012a0","006012a0","undefined FUN_006012a0(float param_1)","129"
"FUN_00601330","00601330","undefined FUN_00601330(float param_1)","44"
"FUN_00601360","00601360","undefined FUN_00601360(int param_1)","590"
"FUN_00601630","00601630","undefined FUN_00601630(ushort * param_1\, undefined4 * param_2)","305"
"FUN_006017c0","006017c0","undefined FUN_006017c0(void)","1"
"FUN_006018c0","006018c0","undefined FUN_006018c0(undefined1 param_1\, float param_2\, undefined4 param_3\, undefined4 param_4\, float * param_5\, float * param_6\, undefined4 param_7\, float param_8\, undefined4 param_9)","283"
"FUN_00601a30","00601a30","undefined FUN_00601a30(void)","469"
"FUN_00601de0","00601de0","undefined4 FUN_00601de0(void)","3"
"FUN_00601df0","00601df0","undefined FUN_00601df0(int param_1)","19"
"FUN_00601e20","00601e20","int FUN_00601e20(undefined4 param_1\, undefined4 param_2\, uint param_3)","1344"
"FUN_00602370","00602370","undefined FUN_00602370(int param_1)","63"
"FUN_006023b0","006023b0","undefined FUN_006023b0(int * param_1)","205"
"FUN_00602480","00602480","undefined FUN_00602480(int * param_1)","205"
"FUN_00602550","00602550","undefined FUN_00602550(int param_1)","323"
"FUN_006026a0","006026a0","undefined FUN_006026a0(int param_1)","341"
"FUN_00602840","00602840","undefined FUN_00602840(void)","101"
"FUN_006028b0","006028b0","undefined FUN_006028b0(void)","120"
"_NuSceneSetConvParams","00602930","undefined _NuSceneSetConvParams(void)","1"
"FUN_00602a10","00602a10","int * FUN_00602a10(int * param_1\, undefined4 param_2)","126"
"FUN_00602a90","00602a90","int * FUN_00602a90(int * param_1)","712"
"FUN_00602d90","00602d90","int * FUN_00602d90(int * param_1)","69"
"FUN_00603290","00603290","undefined FUN_00603290(undefined4 param_1\, undefined4 param_2\, float param_3\, float param_4\, int param_5)","189"
"FUN_00603350","00603350","undefined FUN_00603350(uint * param_1\, undefined4 param_2)","127"
"FUN_006033d0","006033d0","undefined FUN_006033d0(byte * param_1)","20"
"FUN_00603430","00603430","undefined4 FUN_00603430(void)","3"
"FUN_00603440","00603440","undefined FUN_00603440(undefined1 * param_1)","16"
"FUN_00603450","00603450","undefined FUN_00603450(undefined1 * param_1)","16"
"FUN_00603460","00603460","undefined FUN_00603460(undefined1 * param_1\, undefined4 param_2)","19"
"FUN_00603480","00603480","undefined FUN_00603480(undefined1 * param_1)","16"
"FUN_00603490","00603490","undefined FUN_00603490(undefined1 * param_1)","16"
"FUN_006034a0","006034a0","undefined FUN_006034a0(void)","1"
"FUN_006034b0","006034b0","uint FUN_006034b0(int param_1\, undefined1 param_2\, int param_3)","117"
"FUN_00603530","00603530","undefined FUN_00603530(int param_1\, int param_2)","79"
"FUN_00603580","00603580","undefined4 FUN_00603580(int * param_1)","142"
"FUN_00603610","00603610","undefined4 * FUN_00603610(int * param_1\, undefined4 * param_2\, undefined4 param_3\, int * param_4)","231"
"FUN_00603710","00603710","undefined FUN_00603710(uint * param_1\, int param_2\, int param_3\, float * param_4\, uint * param_5)","472"
"FUN_00603910","00603910","undefined FUN_00603910(void)","1"
"FUN_00603920","00603920","undefined FUN_00603920(void)","1"
"FUN_00603960","00603960","undefined FUN_00603960(void)","1"
"FUN_00603970","00603970","undefined4 FUN_00603970(undefined4 param_1\, undefined4 param_2)","5"
"FUN_00603980","00603980","undefined FUN_00603980(int param_1)","42"
"FUN_006039b0","006039b0","undefined FUN_006039b0(void)","1"
"FUN_006039d0","006039d0","undefined FUN_006039d0(int param_1\, int param_2\, int * param_3)","58"
"thunk_FUN_005f7490","00603a10","thunk undefined thunk_FUN_005f7490(void)","5"
"FUN_00603aa0","00603aa0","undefined FUN_00603aa0(int param_1)","41"
"FUN_00603ad0","00603ad0","undefined FUN_00603ad0(int param_1\, undefined4 param_2\, float param_3)","63"
"FUN_00603b10","00603b10","undefined FUN_00603b10(int param_1\, undefined4 param_2\, int param_3)","15"
"FUN_00603cc0","00603cc0","undefined FUN_00603cc0(undefined4 param_1\, undefined4 param_2\, undefined4 * param_3)","91"
"FUN_00603d20","00603d20","undefined FUN_00603d20(undefined4 param_1\, undefined4 param_2\, undefined4 * param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8)","170"
"FUN_00603f10","00603f10","undefined FUN_00603f10(float * param_1\, float * param_2\, float * param_3\, int param_4)","497"
"FUN_00604110","00604110","undefined FUN_00604110(float * param_1\, float * param_2\, float * param_3\, int param_4\, uint * param_5)","456"
"FUN_006042e0","006042e0","undefined FUN_006042e0(float * param_1\, undefined4 * param_2\, float * param_3\, float param_4\, int param_5)","1608"
"FUN_00604a80","00604a80","undefined FUN_00604a80(undefined4 param_1\, undefined4 param_2\, float * param_3\, undefined4 param_4\, float param_5\, float param_6\, float param_7)","200"
"FUN_00604c00","00604c00","undefined FUN_00604c00(int param_1\, float * param_2\, int param_3\, int param_4)","70"
"FUN_00604c50","00604c50","int FUN_00604c50(int param_1\, byte param_2)","49"
"FUN_00604e20","00604e20","uint FUN_00604e20(int * param_1)","37"
"FUN_00604e50","00604e50","undefined4 FUN_00604e50(void * this\, int * param_1)","41"
"FUN_00604e80","00604e80","uint FUN_00604e80(int * param_1)","37"
"FUN_00604eb0","00604eb0","undefined4 FUN_00604eb0(void * this\, int * param_1)","41"
"FUN_00604f60","00604f60","int * FUN_00604f60(int * param_1)","36"
"FUN_00604f90","00604f90","int * FUN_00604f90(int * param_1)","36"
"FUN_00605000","00605000","int FUN_00605000(void * this\, int * param_1)","37"
"FUN_00605030","00605030","int FUN_00605030(void * this\, int * param_1)","37"
"FUN_00605090","00605090","int * FUN_00605090(void * this\, int param_1)","56"
"FUN_006050d0","006050d0","int * FUN_006050d0(void * this\, int param_1)","56"
"FUN_006051c0","006051c0","undefined FUN_006051c0(char * param_1)","91"
"FUN_00605220","00605220","undefined FUN_00605220(char * param_1)","91"
"FUN_00605280","00605280","undefined FUN_00605280(char * param_1)","84"
"FUN_00605660","00605660","undefined FUN_00605660(void)","65"
"FUN_006056f0","006056f0","int * FUN_006056f0(undefined2 param_1\, undefined2 param_2\, undefined2 param_3\, uint param_4\, int param_5)","112"
"FUN_006057c0","006057c0","undefined4 FUN_006057c0(int param_1)","55"
"FUN_00605800","00605800","int * FUN_00605800(uint param_1\, undefined2 param_2)","138"
"FUN_00605890","00605890","int * FUN_00605890(uint param_1\, undefined2 param_2\, int param_3)","123"
"FUN_006059c0","006059c0","undefined FUN_006059c0(void)","66"
"FUN_00605a10","00605a10","undefined * FUN_00605a10(void)","190"
"FUN_00605ad0","00605ad0","undefined FUN_00605ad0(undefined * param_1)","141"
"FUN_00605b60","00605b60","undefined FUN_00605b60(int param_1\, int param_2\, undefined4 * param_3\, uint param_4)","50"
"_PCFramebufferReleaseVideoResources","00605bd0","undefined _PCFramebufferReleaseVideoResources(void)","240"
"FUN_00605cc0","00605cc0","undefined FUN_00605cc0(void)","132"
"FUN_00605d50","00605d50","undefined FUN_00605d50(void)","263"
"FUN_00605e60","00605e60","undefined FUN_00605e60(int * param_1)","133"
"FUN_00605ef0","00605ef0","undefined FUN_00605ef0(uint param_1\, uint param_2)","241"
"FUN_00605ff0","00605ff0","undefined FUN_00605ff0(int * param_1\, uint param_2\, int * param_3\, int param_4\, int param_5\, int param_6\, char param_7\, float param_8\, int * param_9)","2387"
"FUN_00606950","00606950","undefined FUN_00606950(int param_1)","25"
"FUN_006069a0","006069a0","int * FUN_006069a0(int * param_1)","120"
"FUN_00606a20","00606a20","undefined FUN_00606a20(int * param_1)","25"
"FUN_00606a40","00606a40","undefined FUN_00606a40(void * param_1)","723"
"FUN_00606d20","00606d20","uint FUN_00606d20(int param_1\, int param_2\, int * param_3)","2064"
"FUN_00607530","00607530","undefined4 FUN_00607530(undefined4 * param_1)","96"
"FUN_00607590","00607590","undefined FUN_00607590(int param_1\, int param_2)","649"
"FUN_00607820","00607820","undefined FUN_00607820(int param_1\, int param_2)","86"
"FUN_00607a90","00607a90","undefined FUN_00607a90(int * param_1)","167"
"FUN_00607ba0","00607ba0","undefined FUN_00607ba0(uint param_1\, int * param_2)","32"
"FUN_00607bc0","00607bc0","undefined FUN_00607bc0(void)","151"
"FUN_00607c60","00607c60","undefined FUN_00607c60(int * param_1)","70"
"FUN_00607cb0","00607cb0","undefined FUN_00607cb0(int param_1)","178"
"FUN_00607d70","00607d70","undefined FUN_00607d70(undefined4 param_1\, undefined4 param_2\, int param_3)","331"
"FUN_00607ec0","00607ec0","undefined FUN_00607ec0(undefined4 param_1\, undefined4 param_2\, int param_3)","319"
"FUN_006083d0","006083d0","undefined FUN_006083d0(int param_1)","130"
"FUN_00608590","00608590","undefined FUN_00608590(int param_1)","2766"
"FUN_00609060","00609060","undefined FUN_00609060(void)","206"
"FUN_00609130","00609130","undefined FUN_00609130(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","50"
"FUN_006091c0","006091c0","undefined FUN_006091c0(int param_1)","2506"
"FUN_00609b90","00609b90","undefined FUN_00609b90(int param_1)","96"
"FUN_00609cb0","00609cb0","uint FUN_00609cb0(int * param_1)","37"
"FUN_00609ce0","00609ce0","undefined4 FUN_00609ce0(void * this\, int * param_1)","41"
"FUN_00609d10","00609d10","uint FUN_00609d10(int * param_1)","37"
"FUN_00609d40","00609d40","undefined4 FUN_00609d40(void * this\, int * param_1)","41"
"FUN_00609da0","00609da0","int * FUN_00609da0(int * param_1)","36"
"FUN_00609dd0","00609dd0","int * FUN_00609dd0(int * param_1)","36"
"FUN_00609e80","00609e80","int FUN_00609e80(void * this\, int * param_1)","37"
"FUN_00609ef0","00609ef0","int FUN_00609ef0(void * this\, int * param_1)","37"
"FUN_00609f70","00609f70","int * FUN_00609f70(void * this\, int param_1)","56"
"FUN_00609fb0","00609fb0","int * FUN_00609fb0(void * this\, int param_1)","56"
"FUN_00609ff0","00609ff0","undefined FUN_00609ff0(char * param_1)","18"
"FUN_0060a010","0060a010","undefined FUN_0060a010(void * this\, int param_1)","63"
"FUN_0060a0b0","0060a0b0","int FUN_0060a0b0(int param_1)","149"
"FUN_0060a150","0060a150","int FUN_0060a150(int param_1)","146"
"FUN_0060a210","0060a210","undefined FUN_0060a210(undefined4 * param_1\, undefined4 * param_2)","25"
"FUN_0060a240","0060a240","undefined FUN_0060a240(undefined4 * param_1\, undefined4 * param_2)","25"
"FUN_0060a2f0","0060a2f0","undefined4 * FUN_0060a2f0(undefined4 * param_1\, undefined4 * param_2\, undefined4 * param_3)","119"
"FUN_0060a380","0060a380","undefined4 * FUN_0060a380(undefined4 * param_1\, undefined4 * param_2\, undefined4 * param_3)","119"
"FUN_0060a410","0060a410","undefined FUN_0060a410(void)","220"
"FUN_0060a580","0060a580","undefined FUN_0060a580(int param_1)","112"
"FUN_0060a5f0","0060a5f0","undefined FUN_0060a5f0(byte param_1)","425"
"FUN_0060a7a0","0060a7a0","undefined FUN_0060a7a0(int param_1\, undefined4 * param_2\, uint param_3\, undefined4 param_4\, undefined4 param_5\, int param_6\, int param_7)","137"
"FUN_0060a830","0060a830","undefined FUN_0060a830(int * param_1\, uint param_2\, int * param_3\, int param_4\, int param_5\, int param_6\, char param_7\, float param_8\, int * param_9)","121"
"FUN_0060a8b0","0060a8b0","undefined4 * FUN_0060a8b0(undefined4 * param_1)","39"
"FUN_0060a8e0","0060a8e0","undefined FUN_0060a8e0(undefined4 * param_1)","41"
